"Vaccine","Geography Type","Geography","FIPS","Season/Survey Year","Month","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","11","Race and Ethnicity","Hispanic","37.9","26.2 to 49.6 ‡","268"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","12","Race and Ethnicity","Hispanic","43.4","31.1 to 55.7 ‡","268"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","1","Race and Ethnicity","Hispanic","45.0","32.6 to 57.4 ‡","268"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","2","Race and Ethnicity","Hispanic","47.5","34.9 to 60.1 ‡","268"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","3","Race and Ethnicity","Hispanic","47.8","35.2 to 60.4 ‡","268"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","4","Race and Ethnicity","Hispanic","47.8","35.2 to 60.4 ‡","268"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","5","Race and Ethnicity","Hispanic","47.8","35.2 to 60.4 ‡","268"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","7","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR †","NR †","326"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","8","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR †","NR †","326"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","9","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","16.7","9.1 to 24.3","326"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","10","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","29.1","19.8 to 38.4","326"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","11","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","39.2","28.8 to 49.6 ‡","326"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","12","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","40.2","29.8 to 50.6 ‡","326"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","1","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","40.9","30.5 to 51.3 ‡","326"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","2","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","44.5","33.7 to 55.3 ‡","326"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","3","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","45.2","34.4 to 56.0 ‡","326"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","4","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","46.2","35.2 to 57.2 ‡","326"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","5","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","46.2","35.2 to 57.2 ‡","326"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","7","Age",">=6 Months","0.4","0.2 to 0.6","6316"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","8","Age",">=6 Months","1.5","1.1 to 1.9","6316"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","9","Age",">=6 Months","11.9","10.7 to 13.1","6316"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","10","Age",">=6 Months","32.6","30.7 to 34.5","6316"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","11","Age",">=6 Months","41.9","39.7 to 44.1","6316"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","12","Age",">=6 Months","44.7","42.4 to 47.0","6316"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","1","Age",">=6 Months","46.9","44.5 to 49.3","6316"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","2","Age",">=6 Months","49.0","46.6 to 51.4","6316"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","3","Age",">=6 Months","49.5","47.1 to 51.9","6316"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","4","Age",">=6 Months","51.1","47.6 to 54.6","6316"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","5","Age",">=6 Months","51.2","47.7 to 54.7","6316"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","7","Age","6 Months - 17 Years","NR †","NR †","2081"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","8","Age","6 Months - 17 Years","3.1","1.8 to 4.4","2081"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","9","Age","6 Months - 17 Years","14.5","12.1 to 16.9","2081"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","10","Age","6 Months - 17 Years","33.1","30.0 to 36.2","2081"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","11","Age","6 Months - 17 Years","42.6","39.1 to 46.1","2081"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","12","Age","6 Months - 17 Years","46.3","42.7 to 49.9","2081"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","1","Age","6 Months - 17 Years","49.9","46.2 to 53.6","2081"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","2","Age","6 Months - 17 Years","51.6","47.8 to 55.4","2081"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","3","Age","6 Months - 17 Years","52.0","48.2 to 55.8","2081"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","4","Age","6 Months - 17 Years","52.4","48.6 to 56.2","2081"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","5","Age","6 Months - 17 Years","53.2","49.2 to 57.2","2081"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","7","Age","6 Months - 4 Years","NR †","NR †","610"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","8","Age","6 Months - 4 Years","3.8","1.8 to 5.8","610"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","9","Age","6 Months - 4 Years","18.5","12.6 to 24.4","610"
"Seasonal Influenza","HHS Regions/National","Region 5","105","2024-25","7","Age",">=6 Months","0.4","0.3 to 0.5","58369"
"Seasonal Influenza","HHS Regions/National","Region 5","105","2024-25","8","Age",">=6 Months","2.3","2.1 to 2.5","58369"
"Seasonal Influenza","HHS Regions/National","Region 5","105","2024-25","9","Age",">=6 Months","10.0","9.6 to 10.4","58369"
"Seasonal Influenza","HHS Regions/National","Region 5","105","2024-25","10","Age",">=6 Months","26.6","26.1 to 27.1","58369"
"Seasonal Influenza","HHS Regions/National","Region 5","105","2024-25","11","Age",">=6 Months","35.0","34.3 to 35.7","58369"
"Seasonal Influenza","HHS Regions/National","Region 5","105","2024-25","12","Age",">=6 Months","38.0","37.3 to 38.7","58369"
"Seasonal Influenza","HHS Regions/National","Region 5","105","2024-25","1","Age",">=6 Months","40.4","39.7 to 41.1","58369"
"Seasonal Influenza","HHS Regions/National","Region 5","105","2024-25","2","Age",">=6 Months","42.1","41.4 to 42.8","58369"
"Seasonal Influenza","HHS Regions/National","Region 5","105","2024-25","3","Age",">=6 Months","43.1","42.4 to 43.8","58369"
